;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-11-27-06;-3.735132;0.030574;0.00000;15.525;256.250
2010-11-27-07;-3.936571;0.008363;0.00000;15.375;255.000
2010-11-27-08;-3.993844;0.000000;0.00000;15.075;252.750
2010-11-27-09;-3.482650;0.000000;0.00000;14.925;251.250
2010-11-27-10;-2.942070;0.000000;0.00000;14.750;250.250
2010-11-27-11;-2.585746;0.000000;0.00000;14.600;249.000
2010-11-27-12;-1.776730;0.000000;0.00000;14.550;248.500
2010-11-27-13;-2.291066;0.000000;0.00000;14.475;247.750
2010-11-27-14;-2.682134;0.000000;0.00000;14.350;246.750
2010-11-27-15;-3.224444;0.000000;0.00000;13.825;243.000
2010-11-27-16;-4.259624;0.000000;0.00000;13.550;240.500
2010-11-27-17;-4.926719;0.000000;0.00000;13.300;239.000
2010-11-27-18;-5.364804;0.000000;0.00000;13.300;239.000
2010-11-27-19;-5.711233;0.000000;0.00000;13.200;238.000
2010-11-27-20;-5.672402;0.000000;0.00000;12.800;234.500
2010-11-27-21;-5.511420;0.000000;0.00000;12.500;232.000
2010-11-27-22;-5.191883;0.000000;0.00000;12.575;232.750
2010-11-27-23;-4.966975;0.000000;0.00000;12.675;233.750
2010-11-28-00;-4.826863;0.000000;0.00000;12.700;234.000
2010-11-28-01;-4.484243;0.000000;0.00000;12.700;234.000
2010-11-28-02;-4.073717;0.002690;0.00000;12.700;234.000
2010-11-28-03;-3.788644;0.088551;0.00000;12.650;233.500
2010-11-28-04;-3.572466;0.075120;0.00000;12.600;233.000
2010-11-28-05;-3.491070;0.077278;0.00000;12.600;233.000
2010-11-28-06;-3.449047;0.002315;0.00000;12.525;232.250
2010-11-28-07;-3.463600;0.000000;0.00000;12.450;231.500
2010-11-28-08;-3.217576;0.000000;0.00000;12.400;231.000
2010-11-28-09;-2.850934;0.000000;0.00000;12.175;229.750
2010-11-28-10;-2.251364;0.002690;0.00000;12.100;229.000
2010-11-28-11;-1.723861;0.000000;0.00000;12.000;228.000
2010-11-28-12;-1.280314;0.002690;0.00000;11.900;227.000
2010-11-28-13;-1.138160;0.002690;0.00000;11.900;227.000
2010-11-28-14;-1.559873;0.002690;0.00000;11.750;226.250
2010-11-28-15;-2.010070;0.008551;0.00000;11.650;225.500
2010-11-28-16;-2.678379;0.000000;0.00000;11.600;225.000
2010-11-28-17;-2.946748;0.000000;0.00000;11.600;225.000
2010-11-28-18;-3.050795;0.000000;0.00000;11.525;224.250
2010-11-28-19;-3.107494;0.000000;0.00000;11.200;221.500
2010-11-28-20;-3.307042;0.000000;0.00000;10.600;217.000
2010-11-28-21;-3.317666;0.002690;0.00000;10.800;218.000
2010-11-28-22;-3.389075;0.002690;0.00000;10.950;219.500
2010-11-28-23;-3.397459;0.000000;0.00000;10.900;219.000
2010-11-29-00;-3.386281;0.000000;0.00000;10.850;218.500
2010-11-29-01;-3.307770;0.000000;0.00000;10.650;217.250
2010-11-29-02;-3.353534;0.000000;0.00000;10.350;214.750
2010-11-29-03;-3.450355;0.145089;0.00000;10.100;213.000
2010-11-29-04;-3.512009;0.545923;0.00000;10.100;213.000
2010-11-29-05;-3.532040;0.663170;0.00000;10.150;213.000
2010-11-29-06;-3.447551;0.499009;0.00000;10.200;213.000
2010-11-29-07;-3.386229;0.247581;0.00000;10.100;212.500
2010-11-29-08;-3.276902;0.248311;0.00000;9.955;211.500
2010-11-29-09;-3.063587;0.095714;0.00000;9.910;211.000
2010-11-29-10;-2.779472;0.094223;0.00000;9.910;211.000
2010-11-29-11;-2.602980;0.106820;0.00000;9.917;211.000
2010-11-29-12;-2.402254;0.130980;0.00000;9.920;211.000
2010-11-29-13;-2.242177;0.031595;0.00000;9.920;211.000
2010-11-29-14;-2.321841;0.103003;0.00000;9.920;211.000
2010-11-29-15;-2.538556;0.350574;0.00000;9.923;211.000
2010-11-29-16;-2.768239;0.358989;0.00000;9.930;211.000
2010-11-29-17;-2.948864;0.433076;0.00000;9.930;211.000
2010-11-29-18;-3.145845;0.453691;0.00000;9.930;211.000
2010-11-29-19;-3.335891;0.267643;0.00000;9.930;211.000
2010-11-29-20;-3.545171;0.163076;0.00000;9.930;211.000
2010-11-29-21;-3.720546;0.206882;0.00000;9.940;211.000
2010-11-29-22;-3.919671;0.191835;0.00000;10.020;211.500
2010-11-29-23;-4.143581;0.152930;0.00000;10.100;212.000
2010-11-30-00;-4.308949;0.146038;0.00000;10.100;212.000
2010-11-30-01;-4.606549;0.092888;0.00000;10.100;212.000
2010-11-30-02;-4.977375;0.044713;0.00000;10.100;212.000
2010-11-30-03;-5.258530;0.004067;0.00000;10.100;212.000
2010-11-30-04;-5.297789;0.000000;0.00000;10.062;211.750
2010-11-30-05;-5.265729;0.018259;0.00000;9.950;211.000
2010-11-30-06;-5.388336;0.036861;0.00000;9.950;211.000
2010-11-30-07;-5.717062;0.015130;0.00000;9.677;208.750
2010-11-30-08;-5.190235;0.000000;0.00000;9.340;206.000
2010-11-30-09;-4.587569;0.000000;0.00000;9.230;205.000
2010-11-30-10;-4.090315;0.000000;0.00000;9.230;205.000
2010-11-30-11;-3.743535;0.000000;0.00000;9.230;205.000
2010-11-30-12;-3.513758;0.000000;0.00000;9.230;205.000
2010-11-30-13;-3.414551;0.000000;0.00000;9.202;204.750
2010-11-30-14;-3.455066;0.000000;0.00000;9.120;204.000
2010-11-30-15;-3.561304;0.000000;0.00000;9.120;204.000
2010-11-30-16;-3.705930;0.001376;0.00000;9.120;204.000
2010-11-30-17;-3.939040;0.006277;0.00000;9.003;203.000
2010-11-30-18;-4.153074;0.000000;0.00000;8.830;201.500
2010-11-30-19;-4.398583;0.000000;0.00000;8.770;201.000
2010-11-30-20;-4.667848;0.004484;0.00000;8.770;201.000
2010-11-30-21;-4.957262;0.000000;0.00000;8.623;199.750
2010-11-30-22;-5.325574;0.000000;0.00000;8.657;200.000
2010-11-30-23;-5.733729;0.000000;0.00000;9.195;204.500
2010-12-01-00;-6.086392;0.000000;0.00000;9.140;204.000
2010-12-01-01;-6.331554;0.000000;0.00000;9.140;204.000
2010-12-01-02;-6.609517;0.000000;0.00000;9.140;204.000
2010-12-01-03;-6.964222;0.008551;0.00000;9.140;204.000
2010-12-01-04;-7.164317;0.000000;0.00000;9.140;204.000
2010-12-01-05;-7.408261;0.000000;0.00000;9.148;204.000
2010-12-01-06;-7.819815;0.000000;0.00000;9.150;204.000
2010-12-01-07;-8.057035;0.000000;0.00000;9.060;203.250
2010-12-01-08;-8.140162;0.000000;0.00000;8.910;202.000
2010-12-01-09;-8.166564;0.000000;0.00000;8.915;202.000
2010-12-01-10;-7.963590;0.000000;0.00000;8.890;201.750
2010-12-01-11;-7.707586;0.000000;0.00000;8.800;201.000
2010-12-01-12;-7.627581;0.000000;0.00000;8.710;200.250
2010-12-01-13;-7.681422;0.000000;0.00000;8.688;200.000
2010-12-01-14;-7.895703;0.000000;0.00000;8.690;200.000
2010-12-01-15;-8.458379;0.059333;0.00000;8.690;200.000
2010-12-01-16;-9.091337;0.327331;0.00000;8.690;200.000
2010-12-01-17;-9.469340;0.640824;0.00000;8.690;200.000
2010-12-01-18;-9.698176;0.516017;0.00000;8.695;200.000
2010-12-01-19;-9.983870;0.719604;0.00000;8.700;200.000
2010-12-01-20;-10.255189;0.724526;0.00000;8.700;200.000
2010-12-01-21;-10.495404;0.285912;0.00000;8.700;200.000
2010-12-01-22;-10.676489;0.099280;0.00000;8.640;199.500
2010-12-01-23;-10.881970;0.070845;0.00000;8.587;199.000
2010-12-02-00;-11.099243;0.056298;0.00000;8.590;199.000
2010-12-02-01;-11.195834;0.004067;0.00000;8.590;199.000
2010-12-02-02;-11.241527;0.000000;0.00000;8.590;199.000
2010-12-02-03;-11.343322;0.000000;0.00000;8.590;199.000
2010-12-02-04;-11.550785;0.000000;0.00000;8.480;198.000
2010-12-02-05;-11.598309;0.000000;0.00000;8.480;198.000
2010-12-02-06;-11.875303;0.000000;0.00000;8.420;197.500
2010-12-02-07;-12.216147;0.000000;0.00000;8.360;197.000
2010-12-02-08;-12.063318;0.000000;0.00000;8.305;196.500
2010-12-02-09;-11.456294;0.023024;0.00000;8.040;194.250
2010-12-02-10;-10.707267;0.000000;0.00000;7.800;192.250
2010-12-02-11;-10.206038;0.000417;0.00000;7.780;192.000
2010-12-02-12;-9.686087;0.000000;0.00000;7.780;192.000
2010-12-02-13;-9.559887;0.000000;0.00000;7.780;192.000
2010-12-02-14;-9.234386;0.000000;0.00000;7.780;192.000
2010-12-02-15;-8.886035;0.000000;0.00000;7.780;192.000
2010-12-02-16;-8.823100;0.000000;0.00000;7.787;192.000
2010-12-02-17;-9.147931;0.000000;0.00000;7.790;192.000
2010-12-02-18;-9.092254;0.000000;0.00000;7.790;192.000
2010-12-02-19;-9.086867;0.000000;0.00000;7.790;192.000
2010-12-02-20;-9.436177;0.000000;0.00000;7.790;192.000
2010-12-02-21;-9.377911;0.000000;0.00000;7.795;192.000
2010-12-02-22;-9.630411;0.000000;0.00000;7.800;192.000
2010-12-02-23;-9.953474;0.000000;0.00000;7.800;192.000
2010-12-03-00;-10.766170;0.000000;0.00000;7.800;192.000
2010-12-03-01;-10.845785;0.000000;0.00000;7.800;192.000
2010-12-03-02;-10.701988;0.000000;0.00000;7.803;192.000
2010-12-03-03;-10.896816;0.000000;0.00000;7.810;192.000
2010-12-03-04;-10.788775;0.000000;0.00000;7.810;192.000
2010-12-03-05;-10.795534;0.000000;0.00000;7.810;192.000
2010-12-03-06;-10.654529;0.000000;0.00000;7.810;192.000
2010-12-03-07;-10.698988;0.000000;0.00000;7.810;192.000
2010-12-03-08;-10.599710;0.001835;0.00000;7.815;192.000
2010-12-03-09;-10.075242;0.001376;0.00000;7.820;192.000
2010-12-03-10;-9.159231;0.000000;0.00000;7.820;192.000
2010-12-03-11;-8.208146;0.000000;0.00000;7.820;192.000
2010-12-03-12;-7.674197;0.000000;0.00000;7.820;192.000
