generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
108,180,0.13955974578857422,0.3955092430114746,18.300960540771484,0.13955974578857422
109,180,0.12649005651474,0.4407104253768921,13.009974479675293,0.12649005651474
110,180,0.13891613483428955,0.49274930357933044,27.649127960205078,0.13891613483428955
111,180,0.13928824663162231,0.43300628662109375,15.646868705749512,0.13928824663162231
112,180,0.13871294260025024,0.45157474279403687,24.832355499267578,0.13871294260025024
113,180,0.13286083936691284,0.4157502353191376,15.502301216125488,0.13286083936691284
114,180,0.1324511170387268,0.41408571600914,15.263667106628418,0.1324511170387268
115,180,0.12707293033599854,0.3522837460041046,14.880971908569336,0.12707293033599854
116,180,0.12623131275177002,0.33939915895462036,30.169212341308594,0.12623131275177002
117,180,0.12871861457824707,0.511579692363739,25.950124740600586,0.12871861457824707
118,180,0.12451440095901489,0.29291051626205444,22.409914016723633,0.12451440095901489
119,180,0.12576109170913696,0.23441767692565918,22.741331100463867,0.12576109170913696
120,180,0.12426245212554932,0.201471745967865,19.907611846923828,0.12426245212554932
121,180,0.12799328565597534,0.3800056278705597,21.572139739990234,0.12799328565597534
122,180,0.13075846433639526,0.2929566204547882,20.390457153320312,0.13075846433639526
123,180,0.12531763315200806,0.2467321753501892,19.87419891357422,0.12531763315200806
124,180,0.12318873405456543,0.2437053918838501,19.017438888549805,0.12318873405456543
125,180,0.12066084146499634,0.20532077550888062,15.717764854431152,0.12066084146499634
126,180,0.12005800008773804,0.26557010412216187,14.278613090515137,0.12005800008773804
127,180,0.12191957235336304,0.2656034231185913,16.548452377319336,0.12191957235336304
128,180,0.12283629179000854,0.35086384415626526,17.25765037536621,0.12283629179000854
129,180,0.12023866176605225,0.25241172313690186,15.505193710327148,0.12023866176605225
130,180,0.11805886030197144,0.2711765468120575,13.996576309204102,0.11805886030197144
131,180,0.11864560842514038,0.34772223234176636,14.406505584716797,0.11864560842514038
132,180,0.11798322200775146,0.31662046909332275,11.575435638427734,0.11798322200775146
133,180,0.12012648582458496,0.4443102777004242,24.083717346191406,0.12012648582458496
134,180,0.11899006366729736,0.4456823468208313,21.487592697143555,0.11899006366729736
135,180,0.1145363450050354,0.31605634093284607,15.819058418273926,0.1145363450050354
136,180,0.11681807041168213,0.44782987236976624,21.594791412353516,0.11681807041168213
137,180,0.11910688877105713,0.41541537642478943,27.05545425415039,0.11910688877105713
138,180,0.11739253997802734,0.4990732967853546,23.1866455078125,0.11739253997802734
139,180,0.11552286148071289,0.2986065149307251,18.599851608276367,0.11552286148071289
140,180,0.11804091930389404,0.37534260749816895,23.97003173828125,0.11804091930389404
141,180,0.11967086791992188,0.3361118733882904,28.858661651611328,0.11967086791992188
142,180,0.11624783277511597,0.3818214535713196,26.511886596679688,0.11624783277511597
143,180,0.11921048164367676,0.4417494237422943,15.456329345703125,0.11921048164367676
144,180,0.11501634120941162,0.44001394510269165,16.20900535583496,0.11501634120941162
