series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
79,0.065766536,0.0918128713965416,0.09165579825639725,0.0,-0.0061142026,0.54941094,0.041774444,99.947044,689.6643,165.9404,2.9452763,1.5348438,1.0667049,0.99989516,0.17569779,102.6662,0.52625006,4.3187757e-07,2.73555e-07,0.009191147,2.119687e-09
80,0.068870835,0.09342470020055771,0.09303229302167892,0.0,-0.006003047,0.50415766,0.046679053,99.90165,689.7573,164.38583,2.922015,0.7677434,1.7523206,0.9999537,0.17796503,27.2194,0.07039565,5.4048775e-07,1.4193733e-06,0.009134411,1.35535325e-08
81,0.06655346,0.09109663963317871,0.09094059467315674,0.0,-0.0057005663,0.53060293,0.04304025,99.89173,693.7111,164.49208,3.0187201,1.4803377,1.1033057,0.9999075,0.17528854,101.00376,0.78691536,2.234001e-06,5.7695106e-06,0.009282554,2.7089904e-08
82,0.06820638,0.09448149800300598,0.09438356757164001,0.0,-0.0060705016,0.54043204,0.04177576,99.92043,691.049,164.49055,3.0012374,1.8611165,0.7597223,0.99973017,0.18333709,29.621931,0.5225178,6.5629695e-07,1.7869997e-06,0.008991871,1.2803622e-07
83,0.06693431,0.08851568400859833,0.08819501847028732,0.0,-0.00554402,0.4985264,0.0524038,99.99549,695.6976,168.17363,2.8395267,1.6445069,0.8741349,0.99998075,0.1738285,119.62384,0.26123142,3.5622932e-08,2.955072e-06,0.009356374,1.4603651e-08
84,0.06587034,0.09654947370290756,0.09637231379747391,0.0,-0.00684993,0.5340412,0.044997033,99.970276,696.8399,166.71771,3.032867,1.8695158,0.81475383,0.9998488,0.18106377,48.31752,0.41233036,6.5747423e-07,7.723951e-09,0.00913581,4.9288076e-08
85,0.065494984,0.09150416404008865,0.09104201197624207,0.0,-0.006836253,0.52275026,0.04359853,99.62309,63.355724,156.42221,2.8688602,1.6446592,0.78509915,0.9996428,0.1794317,61.5537,0.8658129,8.3612696e-07,2.0938908e-06,0.009049861,1.3031364e-08
86,0.067058206,0.08954236656427383,0.0894632488489151,0.0,-0.0061461334,0.542723,0.040695537,99.98459,698.41327,164.787,3.0078318,1.6545124,0.932741,0.9999147,0.17399463,151.8517,0.49207705,1.768799e-07,4.750635e-07,0.009227607,3.2431714e-08
87,0.0660693,0.09581504017114639,0.09542399644851685,0.0,-0.0058056526,0.5036012,0.046907227,99.97528,699.61053,164.47426,3.0573025,1.8357148,0.7651291,0.999891,0.17872857,120.871025,0.8847109,1.5723069e-07,4.1309139e-07,0.009210584,1.8786594e-08
88,0.066147104,0.08983515202999115,0.08964922279119492,0.0,-0.0060899914,0.5301507,0.047337633,99.90877,671.5599,165.6929,2.8904753,1.7103609,0.8236845,0.999721,0.17646578,88.89432,0.60094976,4.8231335e-08,2.2809961e-06,0.009268787,1.308531e-07
89,0.064879045,0.09479841589927673,0.09455804526805878,0.0,-0.0060617398,0.55530787,0.039657474,99.77697,680.3696,162.86298,3.1033268,0.83738184,1.740795,0.99966013,0.17669076,167.85623,0.20566411,1.1312638e-06,8.535168e-06,0.00898082,8.0343636e-07
90,0.06566659,0.09451770037412643,0.09594667702913284,0.0,0.08941598,0.6293267,0.033575505,99.96882,698.76086,161.73196,2.976211,1.415338,1.2437619,0.99993557,0.18328494,133.94241,0.11211349,7.7477154e-08,1.4159073e-06,0.008711353,2.1991413e-08
91,0.065574564,0.09338653832674026,0.09546051174402237,0.0,0.0883963,0.61897296,0.033487424,99.95765,697.1163,163.13179,2.9230053,2.3204634,0.3148481,0.99988127,0.18410502,147.18864,0.39368182,1.1488508e-07,1.1566109e-06,0.008664193,2.053582e-09
92,0.06754552,0.09672887623310089,0.09836389124393463,0.0,0.0891698,0.6320061,0.033469226,99.90627,699.43555,162.4228,3.0828712,1.7448336,0.92906827,0.999877,0.18510908,107.67895,0.81273305,1.7072162e-07,1.0315288e-06,0.008797681,3.1971677e-08
93,0.06524569,0.0949927270412445,0.09474856406450272,0.0,-0.0054828716,0.5244131,0.042282987,99.80889,338.22495,161.45569,3.0604239,1.9214284,0.59934574,0.9997536,0.17844021,168.48071,0.4365489,2.3567542e-07,1.8238517e-06,0.009096896,2.9773096e-08
94,0.068384945,0.08949635177850723,0.08941836655139923,0.0,-0.0061233174,0.53652537,0.04169881,99.967514,698.9868,163.93285,2.9306118,1.7145766,0.82515645,0.9998624,0.1738932,70.17306,0.6378788,3.4668495e-09,2.2483988e-07,0.00916679,1.7363355e-08
